Symbol,Date,Open,High,Low,Close,Volume
AAPL,2021-05-17,127.45,127.45,125.17,126.27,28698
AAPL,2021-05-18,126.27,126.9878,124.8,124.85,28697
AAPL,2021-05-19,124.85,124.895,122.98,124.69,28698
AAPL,2021-05-20,124.69,127.71,124.69,127.31,28693
AAPL,2021-05-21,127.31,127.99,125.22,125.43,21543
AAPL,2021-05-23,125.43,125.43,125.43,125.43,7191
AAPL,2021-05-24,125.43,127.935,125.43,127.1,28697
AAPL,2021-05-25,127.1,128.3,126.325,126.9,28697
AAPL,2021-05-26,126.9,127.36,126.42,126.85,28697
AAPL,2021-05-27,126.85,127.63,125.28,125.28,28697
AAPL,2021-05-28,125.28,125.76,124.58,124.61,21543
AAPL,2021-05-30,124.61,124.61,124.61,124.61,7192
AAPL,2021-05-31,124.61,124.61,124.61,124.61,28697
AAPL,2021-06-01,124.61,124.61,124.61,124.61,28698
AAPL,2021-06-02,124.61,124.61,124.61,124.61,28697
AAPL,2021-06-03,124.61,124.61,124.61,124.61,28697
AAPL,2021-06-04,124.61,124.61,124.61,124.61,21543
AAPL,2021-06-06,125.89,125.89,125.89,125.89,7210
AAPL,2021-06-07,125.89,126.3,124.8636,125.9,28798
AAPL,2021-06-08,125.9,128.4511,125.9,126.74,28798
AAPL,2021-06-09,126.74,127.67,126.555,127.13,28799
AAPL,2021-06-10,127.13,128.1801,125.95,126.11,28798
AAPL,2021-06-11,126.11,127.4382,126.11,127.35,21612
AAPL,2021-06-13,127.35,127.35,127.35,127.35,7210
AAPL,2021-06-14,127.35,130.485,127.07,130.48,28753
AAPL,2021-06-15,130.48,130.589,129.4,129.64,28703
AAPL,2021-06-16,129.64,130.8821,128.49,130.15,28705
AAPL,2021-06-17,130.15,132.535,129.665,131.79,28703
AAPL,2021-06-18,131.79,131.79,130.29,130.46,21550
AAPL,2021-06-20,130.46,130.46,130.46,130.46,7217
AAPL,2021-06-21,130.46,132.405,129.22,132.3,28794
AAPL,2021-06-22,132.3,134.075,131.64,133.98,28797
AAPL,2021-06-23,133.98,134.31,133.249,133.7,28798
AAPL,2021-06-24,133.7,134.52,132.935,133.41,28799
AAPL,2021-06-25,133.41,133.8799,132.81,133.11,21618
AAPL,2021-06-27,133.11,133.11,133.11,133.11,7191
AAPL,2021-06-28,133.11,135.238,133.11,134.78,28699
AAPL,2021-06-29,134.78,136.49,134.385,136.33,28706
AAPL,2021-06-30,136.33,137.385,135.88,136.96,28733
AAPL,2021-07-01,136.96,137.31,135.775,137.27,28798
AAPL,2021-07-02,137.27,140.0,137.27,139.96,21606
AAPL,2021-07-04,139.96,139.96,139.96,139.96,7194
AAPL,2021-07-05,139.96,139.96,139.96,139.96,28702
AAPL,2021-07-06,139.96,142.9,139.96,142.02,28698
AAPL,2021-07-07,142.02,144.885,142.02,144.57,28706
AAPL,2021-07-08,144.57,144.57,140.6801,143.24,28704
AAPL,2021-07-09,143.24,145.63,142.6785,145.11,21549
AAPL,2021-07-11,145.11,145.11,145.11,145.11,7192
AAPL,2021-07-12,145.11,146.26,144.03,144.5,28721
AAPL,2021-07-13,144.5,147.46,143.85,145.64,28747
AAPL,2021-07-14,145.64,149.5508,145.64,149.15,28757
AAPL,2021-07-15,149.15,149.9815,147.107,148.48,28773
AAPL,2021-07-16,148.48,149.74,145.905,146.39,21581
AAPL,2021-07-18,146.39,146.39,146.39,146.39,7194
AAPL,2021-07-19,146.39,146.39,141.68,142.45,28705
AAPL,2021-07-20,142.45,147.08,142.45,146.15,28714
AAPL,2021-07-21,146.15,146.15,144.705,145.4,28701
AAPL,2021-07-22,145.4,148.18,145.4,146.8,28698
AAPL,2021-07-23,146.8,148.7177,146.8,148.56,21547
AAPL,2021-07-25,148.56,148.56,148.56,148.56,7194
AAPL,2021-07-26,148.56,149.82,147.76,148.99,23024
AAPL,2021-07-27,146.805,147.6513,145.565,146.77,15981
AAPL,2021-07-28,146.77,146.94,142.56,144.98,26929
AAPL,2021-07-29,145.65,146.165,145.52,145.64,14979
